SKU,Name,Regular price,Description,Categories,Images
laptop-asus-vivobook-go-14-e1404fa-nk177w,Laptop ASUS VivoBook Go 14 E1404FA-NK177W,11890000,Xem chi tiết: https://cellphones.com.vn/laptop-asus-vivobook-go-14-e1404fa-nk177w.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//t/e/text_ng_n_-_2023-06-08t005130.908.png"
laptop-hp-14-ep0112tu-8c5l1pa,Laptop HP 14-EP0112TU 8C5L1PA,15290000,Xem chi tiết: https://cellphones.com.vn/laptop-hp-14-ep0112tu-8c5l1pa.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//t/e/text_ng_n_31__1_2.png"
apple-macbook-air-13-m4-10cpu-8gpu-16gb-256gb-2025,MacBook Air M4 13 inch 2025 10CPU 8GPU 16GB 256GB | Chính hãng Apple Việt Nam,25290000,Xem chi tiết: https://cellphones.com.vn/apple-macbook-air-13-m4-10cpu-8gpu-16gb-256gb-2025.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//m/a/macbook_11_1.png"
laptop-acer-aspire-lite-16-gen-2-al16-52p-572a,Laptop Acer Aspire Lite 16 Gen 2 AL16-52P-572A,13990000,Xem chi tiết: https://cellphones.com.vn/laptop-acer-aspire-lite-16-gen-2-al16-52p-572a.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_659.png"
laptop-lenovo-ideapad-slim-3-14irh10-83k00008vn,Laptop Lenovo IdeaPad Slim 3 14IRH10 83K00008VN,14990000,Xem chi tiết: https://cellphones.com.vn/laptop-lenovo-ideapad-slim-3-14irh10-83k00008vn.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_659_1__8.png"
laptop-lenovo-ideapad-slim-3-15abr8-82xm00mdvn,Laptop Lenovo IdeaPad Slim 3 15ABR8 82XM00MDVN,12490000,Xem chi tiết: https://cellphones.com.vn/laptop-lenovo-ideapad-slim-3-15abr8-82xm00mdvn.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_659_1__11.png"
laptop-hp-15-fc0086au-a6vv9pa,Laptop HP 15-FC0086AU A6VV9PA,12390000,Xem chi tiết: https://cellphones.com.vn/laptop-hp-15-fc0086au-a6vv9pa.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_659_4.png"
laptop-asus-vivobook-go-14-e1404fa-eb482w,Laptop ASUS Vivobook Go 14 E1404FA-EB482W,11990000,Xem chi tiết: https://cellphones.com.vn/laptop-asus-vivobook-go-14-e1404fa-eb482w.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_744_1_32.png"
laptop-hp-14-ep0220tu-b73vwpa-16gb,Laptop HP 14-EP0220TU B73VWPA V2,10990000,Xem chi tiết: https://cellphones.com.vn/laptop-hp-14-ep0220tu-b73vwpa-16gb.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_659_3__6.png"
apple-macbook-air-13-m4-10cpu-10gpu-16gb-512gb-2025,MacBook Air M4 13 inch 2025 10CPU 10GPU 16GB 512GB | Chính hãng Apple Việt Nam,30790000,Xem chi tiết: https://cellphones.com.vn/apple-macbook-air-13-m4-10cpu-10gpu-16gb-512gb-2025.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//m/a/macbook_1__4_1.png"
